86   34   87   20   86   63   45   35   62   73   
47   41   63   62   36   80   32   60   42   49   
26   76   90   21   92   23   41   98   62   83   
89   13   27   99   23   77   35   92   32   10   
12   43   46   91   32   50   12   66   83   66   
55   73   72   91   41   43   11   95   93   34   
57   57   66   64   41   15   18   28   75   46   
58   13   78   90   78   83   18   60   61   12   
29   72   43   24   29   77   33   78   69   79   
81   75   86   69   52   15   47   88   55   69   
